periode,site,"xcoord,N,24,15","ycoord,N,24,15",structure_num,proprétaire,structure_type,animal,animal_emp,animal_part,chien,chien_emp,chien_part,bovin,bovin_emp,bovin_part,ovin,ovin_emp,ovin_part,cheval,cheval_emp,cheval_part,porc,porc_emp,porc_part,volaille,volaille_emp,volaille_part,cervide,cervide_emp,cervide_part,poisson,poisson_emp,poisson_part,singe,singe_emp,singe_part,renard,renard_emp,renard_part,elephant,elephant_emp,elephant_part,oiseaux,oiseaux_part,tortue,glire,total
,Yinxu_ouest,"12725870,27","4317472,763",殷墟B57,,fosse,"1,00",fosse,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
,Yinxu_ouest,"12725870,27","4317472,763",殷墟B69,,fosse,"10,00",fosse,articulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,00"
"1,50",Sanjiazhuang,"12726098,08","4320089,929",80三家庄M1,,tombe,,,,"2,00",fosse_ceinture;remblai,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00"
"1,50",Sanjiazhuang,"12726098,08","4320089,929",80三家庄M2,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
"1,50",Sanjiazhuang,"12726098,08","4320089,929",80三家庄M3,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
"1,00",Sanjiazhuang,"12726098,08","4320089,929",80三家庄M4,,tombe,,,,"2,00",fosse_ceinture;plateforme_2,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00"
,Sanjiazhuang,"12726098,08","4320089,929",80三家庄M6,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
,Wudaogou,,,WTKM1,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
,Wudaogou,,,WTKM2,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
"2,00",Renjiazhuang,"12727030,38","4314802,908",16-17任家庄M114,,tombe,,,,"1,00",fosse_ceinture,entier,,,,"1,00",plateforme_2,membre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00"
"2,50",Renjiazhuang,"12727030,38","4314802,908",16-17任家庄M168,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
"4,00",Renjiazhuang,"12727030,38","4314802,908",,,tombe,"1,00",plateforme_2,tête,,,,"1,00",plateforme_2,tête,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00"
"4,00",Renjiazhuang,"12727030,38","4314802,908",,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
,Renjiazhuang,"12727030,38","4314802,908",侯家庄HPKM1001,,tombe,,,,"8,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,00"
,Houjiazhuang,"12723628,48","4318737,252",侯家庄HPKM1004,,tombe,,,,"1,00",coté,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
,Houjiazhuang,"12723628,48","4318737,252",侯家庄北地78AHBM1,,tombe,,,,"1,00",,,"1,00",,,,,,"2,00",rampe,,"1,00",,,,,,"1,00",rampe,,,,,,,,,,,,,,,,,,"6,00"
,Houjiazhuang,"12723628,48","4318737,252",1002,,tombe,,,,,,,"1,00",,membre,"1,00",,membre,,,,"1,00",,membre,,,,,,,,,,,,,,,,,,,,,,,"3,00"
,Houjiazhuang,"12723628,48","4318737,252",M1550,,fosse,,,,"1,00",fosse,,"2,00",fosse,,"1,00",fosse,,"30,00",fosse,,,,,,,,,,,,,,"1,00",fosse,,"1,00",fosse,,"1,00",fosse,,,,,"1,00","38,00"
,Houjiazhuang,"12723628,48","4318737,252",,,fosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",fosse,,,,,,"1,00"
,Houjiazhuang,"12723628,48","4318737,252",,,fosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",fosse,,,,,,"1,00"
"2,00",Houjiazhuang,"12723628,48","4318737,252",83-86安阳刘家庄M10,homme,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
"2,00",Liujiazhuang,"12724258,32","4314592,039",83-86安阳刘家庄M16,,tombe,,,,"1,00",fosse_ceinture,entier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00"
