分期,地区,墓葬标号,,墓主,墓葬类型,动物,动物,动物,动物,动物,动物,动物
早中商,郑州白家庄,郑州白家庄M3,,,乙,腰坑/狗/整,,,,,,
早中商,郑州,郑州北二七路M1,,,乙,腰坑/狗/整,,,,,,
早中商,郑州,郑州北二七路M2,,,乙,腰坑/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M9,,,丁,腰坑/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M17,,,丁,腰坑/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M20,,,,腰坑/狗/整,,,,,,
早中商,耀县,84耀县北村IM1,,,丁,腰坑/狗/整,,,,,,
早中商,耀县,84耀县北村IM3,,,丁,腰坑/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M18,,,丙,二层台/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M23,,,丁,二层台/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M204,,,丁,填土/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M158,,,丁,/狗/整,棺椁/狗/整,,,,,
早中商,琉璃阁,琉璃阁M110,,,丙,/狗/整/2,,,,,,
早中商,琉璃阁,琉璃阁M117,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M136,,,,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M205,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M207,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M208,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M224,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M225,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M227,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M233,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M234,,,丁,/狗/整,,,,,,
早中商,琉璃阁,琉璃阁M239,,,,/狗/整,,,,,,
早中商,登封,登封王城岗WT19M11,,,丁,/狗/整,,,,,,
早中商,洹北,洹北商城花园庄东M19,,,丁,/狗,,,,,,
,侯家庄,侯家庄HPKM1001,,,,腰坑/狗/整/8,,,,,,
2,刘家庄,83-86安阳刘家庄M10,,男,丁,腰坑/狗/整,,,,,,
2,刘家庄,83-86安阳刘家庄M16,,,,腰坑/狗/整,,,,,,
2,刘家庄,83-86安阳刘家庄M33,,男,丙,腰坑/狗/整,,,,,,
3,刘家庄,83-86安阳刘家庄M11,,,丁,腰坑/狗/整,,,,,,
3,刘家庄,83-86安阳刘家庄M12,,,丁,腰坑/狗/整,,,,,,
3,刘家庄,83-86安阳刘家庄M34,,,丙,腰坑/狗/整,,,,,,
4,刘家庄,83-86安阳刘家庄M21,,,,腰坑/狗/整,,,,,,
4,刘家庄,83-86安阳刘家庄M32,,,丙,腰坑/狗/整,,,,,,
,刘家庄,83-86安阳刘家庄M20,,,,腰坑/狗/整,,,,,,
,刘家庄,83-86安阳刘家庄M23,,女,丁,腰坑/狗/整,,,,,,
晚,花园庄,花园庄M2,,,,腰坑/狗/整/1/头南,,,,,,
晚,花园庄,花园庄M5,,男/头东,,腰坑/狗/整/1/头西,,,,,,
晚,花园庄,花园庄M8,,,,腰坑/狗/整/1/头南,,,,,,
晚,花园庄,花园庄M12,,,,腰坑/狗/整,,,,,,
晚,花园庄,花园庄M14,,/头东,,腰坑/狗/整/1/头西,,,,,,
殷,花园庄,1999M40,,,,腰坑/狗/整/1/头南,,,,,,
2晚,花园庄,1999M42,,,,腰坑/狗/整/1,,,,,,
4早,花园庄,1999M43,,,,腰坑/狗/整/1/头南,,,,,,
4晚,花园庄,1992M48,,,多,腰坑/狗/整/1/头南,,,,,,
4晚,花园庄,1992M51,,,,腰坑/狗/整/1/头南,,,,,,
2晚,花园庄,1992M52,,,,腰坑/狗/整/1/头西,,,,,,
2晚,花园庄,1992M53,,,,腰坑/狗/整/1/头北,,,,,,
2,花园庄,2001M54,,男/头北/高,土坑竖穴,腰坑/狗/整/1,填土/狗/整/9,二层台/狗/整/5,,,,
3,花园庄,2002M77,,,,腰坑/狗/整/1/头南,,,,,,
殷,花园庄,2002M86,,,,二层台/狗/整,,,,,,
殷,花园庄,2002M92,,,,腰坑/狗/整/1/头北,,,,,,
