ID,年度,遗址名,探方,单位,原编号,新号,位置,深度,种属,左右,部位,保存状况,愈合状况,件数,备注,M1长,M1宽,M2长,M2宽,M3长,M3宽,1,2,8,9,10,11,12,13,14,18,19,20
69,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,桡骨,远端,,1,,,,,,,,,,,,,,,,,,,
70,2000,HD,T31,M54,,XG15,腰坑内,,狗,右,距骨,,,1,,"25,41","16,99",,,,,,,,,,,,,,,,
71,2000,HD,T31,M54,,XG15,腰坑内,,狗,,肋骨,,,11,,,,,,,,,,,,,,,,,,,
72,2000,HD,T31,M54,,XG15,腰坑内,,狗,,脊椎,,,25,,,,,,,,,,,,,,,,,,,
73,2000,HD,T31,M54,,XG15,腰坑内,,狗,,枢椎,,,1,,,,,,,,,,,,,,,,,,,
74,2000,HD,T31,M54,,XG15,腰坑内,,狗,,掌骨或跖骨,,,11,,,,,,,,,,,,,,,,,,,
75,2000,HD,T31,M54,,XG15,腰坑内,,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
76,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,上颌骨,,,1,"左I2+I3+C+P2-P4，右I3+C+P2+P4+M1,头骨全长190.79,宽65.71",,,,,,,,,,,,,,,,,,
77,2000,HD,T31,M54,,XG15,腰坑内,,狗,一付,下颌骨,,,1,左I1-C+P3-M2，右C,,,,,,,"141,97","136,77",,,,,,,,"55,3",,
78,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,肱骨,完整,,1,,"30,4","39,35","33,64","25,82",169,,,,,,,,,,,,,
79,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,尺骨,近端,愈合,1,,,,,,,,,,,,,,,,,,,
80,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,尺骨,近端,愈合,1,,,,,,,,,,,,,,,,,,,
81,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,桡骨,完整,,1,,"17,84","12,23","24,96","13,8",162,,,,,,,,,,,,,
82,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,桡骨,近端,,1,,,,,,,,,,,,,,,,,,,
83,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,股骨,近端残,,1,,,,,,,,,,,,,,,,,,,
84,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,股骨,远端碎块,,2,,,,,,,,,,,,,,,,,,,
85,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,胫骨,基本完整,,1,,"33,88",,"23,39","16,87",179,,,,,,,,,,,,,
86,2000,HD,T31,M54,010,XG8,,深6.62米,狗,左,肩胛骨,,,1,,"29,21","18,39",,,,,,,,,,,,,,,,
87,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,跟骨,,,1,,"45,4","19,2","16,16",,,,,,,,,,,,,,,
88,2000,HD,T31,M54,010,XG8,,深6.62米,狗,一付,距骨,,,1,,"26,7","17,37",,,,,,,,,,,,,,,,
89,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,掌骨或跖骨,,,12,,,,,,,,,,,,,,,,,,,
90,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,尾椎,,,4,,,,,,,,,,,,,,,,,,,
91,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,第1节趾骨,,,1,,,,,,,,,,,,,,,,,,,
92,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,肋骨,,,4,,,,,,,,,,,,,,,,,,,
93,2000,HD,T31,M54,010,XG8,,深6.62米,狗,,脊椎,,,5,,,,,,,,,,,,,,,,,,,
94,2000,HD,T31,M54,010,XG8,,深6.62米,狗,右,下颌骨,碎块,,1,"P2孔+M1,P3\P4处下颌骨愈合","22,37","9,15",,,,,,,,,,,,,,,,
95,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,肱骨,近端,残,1,,,,,,,,,,,,,,,,,,,
96,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,尺骨,远端,略残,1,,,,,,,,,,,,,,,,,,,
97,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,桡骨,骨干,,1,,,,,,,,,,,,,,,,,,,
98,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,股骨,远端,,1,,"31,07","31,37",,,,,,,,,,,,,,,,
99,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,胫骨,完整,,1,,"33,3","32,39","21,55","16,19",178,,,,,,,,,,,,,
100,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,,腓骨,骨干,,1,,,,,,,,,,,,,,,,,,,
101,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,右,肩胛骨,,,1,,"28,83","17,82",,,,,,,,,,,,,,,,
102,2000,HD,T31,M54,020,XG12,北二层台中部,距地表6.85米,狗,一付,跟骨,,,1,,"44,18","18,09","16,54",,,,,,,,,,,,,,,
